OID_,POINT_X,POINT_Y,Name,SymbolID,PopupInfo
1,208960.189000000245869,71155.748600000515580,4011,0,<img style=""max-width:500px;"" src=""files/core-4011.jpg"">
2,208976.737700000405312,71056.116100000217557,4012,1,&nbsp;
3,209082.335699999704957,71068.118599999696016,4013,1,&nbsp;
4,209064.567300000227988,71174.020999999716878,4014,1,&nbsp;
5,207567.687900000251830,51439.205399999395013,5011,2,NaturalForest_Kanyanchu
6,207677.680200000293553,51439.200600000098348,5014,2,NaturalForest_Kanyanchu
7,207977.649000000208616,51152.193600000813603,5021,2,NaturalForest_Kanyanchu
8,207977.652999999932945,51262.191299999132752,5022,2,NaturalForest_Kanyanchu
9,208502.118200000375509,39479.514000000432134,R1,1,&nbsp;
10,208467.118400000035763,39392.002699999138713,R2,1,&nbsp;
11,209007.250400000251830,39397.385999999940395,R3,1,&nbsp;
12,209009.444600000046194,39299.022700000554323,R4,1,&nbsp;
13,209080.786500000394881,39468.062599999830127,R5,1,&nbsp;
14,206502.337299999780953,61670.666699999943376,K1,1,&nbsp;
15,206478.273599999956787,61662.599500000476837,K2,1,&nbsp;
16,206335.525700000114739,61511.184200000017881,K3,1,&nbsp;
17,206310.443799999542534,61480.988600000739098,K4,1,&nbsp;
18,198980.081000000238419,42589.787699999287724,1011,3,1999
19,198980.084699999541044,42699.785599999129772,1012,3,1999
20,199090.076200000010431,42699.779899999499321,1013,3,1999
21,199090.072399999946356,42589.781899999827147,1014,3,1999
22,199590.050999999977648,43199.744500000029802,1021,3,2000
23,199590.054100000299513,43309.742399999871850,1022,3,2000
24,199700.046099999919534,43309.736600000411272,1023,3,2000
25,199700.041899999603629,43199.738700000569224,1024,3,2000
26,199590.081799999810755,44199.725500000640750,1031,3,2000
27,199590.085699999704957,44309.723400000482798,1032,3,2000
28,199700.076500000432134,44309.717700000852346,1033,3,2000
29,199700.072599999606609,44199.719799999147654,1034,3,2000
30,200090.026399999856949,43699.709200000390410,1041,3,"<img src=""https://www.polybox.ethz.ch/index.php/s/J4cl8hVr9RpmzZY"">

2000"
31,200090.029799999669194,43809.707100000232458,1042,3,2000
32,200200.021300000138581,43809.701500000432134,1043,3,2000
33,200200.017900000326335,43699.703700000420213,1044,3,2000
34,200090.057000000029802,44699.690199999138713,1051,3,2000
35,200090.060200000181794,44809.688100000843406,1052,3,2000
36,200200.051599999889731,44809.682499999180436,1053,3,2000
37,200200.048499999567866,44699.684499999508262,1054,3,2000
38,200476.951399999670684,42260.717000000178814,1061,3,1999
39,200476.954699999652803,42370.714999999850988,1062,3,1999
40,200586.946100000292063,42370.709499999880791,1063,3,1999
41,200586.942800000309944,42260.711600000038743,1064,3,1999
42,200589.971499999985099,43199.693399999290705,1071,3,1999
43,200589.974499999545515,43309.691299999132752,1072,3,1999
44,200699.965699999593198,43309.685699999332428,1073,3,1999
45,200699.962700000032783,43199.687799999490380,1074,3,1999
46,200590.002399999648333,44199.674200000241399,1081,3,2000
47,200590.004999999888241,44309.672199999913573,1082,3,2000
48,200699.996100000105798,44309.666600000113249,1083,3,2000
49,200699.993400000035763,44199.668700000271201,1084,3,2000
50,201089.917200000025332,42699.677999999374151,1091,3,1999
51,201089.919700000435114,42809.675899999216199,1092,3,1999
52,201199.911600000225008,42809.670399999246001,1093,3,1999
53,201199.907999999821186,42699.672599999234080,1094,3,1999
54,200979.951899999752641,43589.666300000622869,1101,3,1999
55,200979.956299999728799,43699.664200000464916,1102,3,1999
56,201089.947100000455976,43699.658700000494719,1103,3,1999
57,201089.943900000303984,43589.660800000652671,1104,3,1999
58,201089.977800000458956,44699.639499999582767,1111,3,2000
59,201089.980800000019372,44809.637399999424815,1112,3,2000
60,201199.972500000149012,44809.631799999624491,1113,3,2000
61,201199.969499999657273,44699.633999999612570,1114,3,2000
62,201627.619400000199676,34237.816199999302626,1121,3,1996
63,201627.622800000011921,34347.814099999144673,1122,3,1996
64,201737.614099999889731,34347.808800000697374,1123,3,1996
65,201737.610700000077486,34237.810900000855327,1124,3,1996
66,201589.831600000150502,41199.682299999520183,1131,3,1999
67,201589.835099999792874,41309.680299999192357,1132,3,1999
68,201699.826799999922514,41309.675000000745058,1133,3,1999
69,201699.823400000110269,41199.677100000903010,1134,3,1999
70,201594.857499999925494,42064.665300000458956,1141,3,1999
71,201594.861700000241399,42174.663300000131130,1142,3,1999
72,201704.852199999615550,42174.657899999991059,1143,3,1999
73,201704.849200000055134,42064.660099999979138,1144,3,1999
74,201589.889700000174344,43089.645800000056624,1151,3,1999
75,201589.892400000244379,43199.643600000068545,1152,3,1999
76,201699.883899999782443,43199.638299999758601,1153,3,1999
77,201699.881199999712408,43089.640399999916553,1154,3,1999
78,202089.568099999800324,33699.804999999701977,1161,3,1996
79,202089.571000000461936,33809.802799999713898,1162,3,1996
80,202199.563000000081956,33809.797700000926852,1163,3,1996
81,202199.559100000187755,33699.799900000914931,1164,3,1997
82,202089.597400000318885,34699.785299999639392,1171,3,1996
83,202089.601099999621511,34809.783199999481440,1172,3,1996
84,202199.593100000172853,34809.778100000694394,1173,3,1996
85,202199.589399999938905,34699.780200000852346,1174,3,1996
86,202089.627500000409782,35699.765699999406934,1181,3,1996
87,202089.630900000222027,35809.763599999248981,1182,3,1996
88,202199.622800000011921,35809.758400000631809,1183,3,1996
89,202199.619400000199676,35699.760600000619888,1184,3,1996
90,202089.807799999602139,41699.648499999195337,1191,3,1999
91,202089.811599999666214,41809.646299999207258,1192,3,1999
92,202199.802899999544024,41809.641000000759959,1193,3,1999
93,202199.800200000405312,41699.643200000748038,1194,3,1999
94,202589.484899999573827,32199.811499999836087,1201,3,1998
95,202589.488699999637902,32309.809299999848008,1202,3,1998
96,202699.480499999597669,32309.804300000891089,1203,3,1998
97,202699.476700000464916,32199.806500000879169,1204,3,1998
98,202589.544800000265241,34199.771900000050664,1211,3,1997
99,202589.548000000417233,34309.769799999892712,1212,3,1997
100,202699.539599999785423,34309.764699999243021,1213,3,1997
101,202699.536399999633431,34199.766899999231100,1214,3,1997
102,202479.582399999722838,35199.757300000637770,1221,3,1996
103,202479.586500000208616,35309.755200000479817,1222,3,1996
104,202589.578099999576807,35309.750000000000000,1223,3,1996
105,202589.574000000022352,35199.752299999818206,1224,3,1996
106,202614.632500000298023,37198.711699999868870,1231,3,1996
107,202614.635900000110269,37308.709499999880791,1232,3,1996
108,202724.627299999818206,37308.704399999231100,1233,3,1996
109,202724.623800000175834,37198.706599999219179,1234,3,1996
110,202589.664800000376999,38199.693199999630451,1241,3,1995
111,202589.667999999597669,38309.690999999642372,1242,3,1995
112,202699.659199999645352,38309.685900000855327,1243,3,1995
113,202699.656100000254810,38199.688100000843406,1244,3,1995
114,202589.694600000046194,39199.673499999567866,1251,3,1995
115,202589.697399999946356,39309.671399999409914,1252,3,1995
116,202699.689699999988079,39309.666300000622869,1253,3,1995
117,202699.685700000263751,39199.668299999088049,1254,3,1995
118,202646.717100000008941,40087.653500000014901,1261,3,1995
119,202646.719499999657273,40197.651200000196695,1262,3,1995
120,202756.711600000038743,40197.646099999547005,1263,3,1995
121,202756.708100000396371,40087.648299999535084,1264,3,1995
122,203089.492499999701977,33699.758999999612570,1271,3,1997
123,203089.495299999602139,33809.756799999624491,1272,3,1997
124,203199.487700000405312,33809.751800000667572,1273,3,1997
125,203199.483799999579787,33699.754000000655651,1274,3,1997
126,203089.611700000241399,37699.679800000041723,1281,3,1995
127,203089.614400000311434,37809.677600000053644,1282,3,1995
128,203199.606399999931455,37809.672499999403954,1283,3,1995
129,203199.602599999867380,37699.674799999222159,1284,3,1995
130,203089.640599999576807,38699.660099999979138,1291,3,1995
131,203089.644100000150502,38809.657899999991059,1292,3,1995
132,203199.635999999940395,38809.652699999511242,1293,3,1995
133,203199.632500000298023,38699.654999999329448,1294,3,1995
134,203089.671400000341237,39699.640399999916553,1301,3,1995
135,203089.674499999731779,39809.638199999928474,1302,3,1995
136,203199.666299999691546,39809.632999999448657,1303,3,1995
137,203199.663200000301003,39699.635199999436736,1304,3,1995
138,203589.439500000327826,33199.746400000527501,1311,3,1998
139,203589.442999999970198,33309.744200000539422,1312,3,1998
140,203699.434999999590218,33309.739299999549985,1313,3,1998
141,203699.431599999777973,33199.741499999538064,1314,3,1998
142,203479.507100000046194,35199.711500000208616,1321,3,1996
143,203479.511099999770522,35309.709300000220537,1322,3,1996
144,203589.501899999566376,35309.704399999231100,1323,3,1996
145,203589.499099999666214,35199.706499999389052,1324,3,1996
146,203479.537399999797344,36199.691700000315905,1331,3,1996
147,203479.540000000037253,36309.689400000497699,1332,3,1996
148,203589.531799999997020,36309.684499999508262,1333,3,1996
149,203589.529299999587238,36199.686599999666214,1334,3,1996
150,203445.630199999548495,39249.632799999788404,1341,3,1995
151,203445.634100000374019,39359.630499999970198,1342,3,1995
152,203555.625699999742210,39359.625600000843406,1343,3,1995
153,203555.621799999848008,39249.627699999138713,1344,3,1995
154,203589.647699999623001,40199.607300000265241,1351,3,1995
155,203589.651200000196695,40309.605200000107288,1352,3,1995
156,203699.643600000068545,40309.600099999457598,1353,3,1995
157,203699.640100000426173,40199.602199999615550,1354,3,1995
158,204089.565499999560416,38699.614299999549985,1361,3,1995
159,204089.568900000303984,38809.612099999561906,1362,3,1995
160,204199.561099999584258,38809.607200000435114,1363,3,1995
161,204199.557699999772012,38699.609300000593066,1364,3,1995
162,204941.528199999593198,39570.558900000527501,1371,3,1995
163,204941.531100000254810,39680.556600000709295,1372,3,1995
164,205051.522499999962747,39680.551799999549985,1373,3,1995
165,205051.519700000062585,39570.553999999538064,1374,3,1995
166,200589.956100000068545,42699.702899999916553,2011,3,1999
167,200589.959699999541044,42809.700799999758601,2012,3,1999
168,200699.951000000350177,42809.695399999618530,2013,3,1999
169,200699.947300000116229,42699.697499999776483,2014,3,1999
170,200979.940299999900162,43199.673900000751019,2021,3,1999
171,200979.944299999624491,43309.671800000593066,2022,3,1999
172,201089.935200000181794,43309.666300000622869,2023,3,1999
173,201089.932300000451505,43199.668400000780821,2024,3,1999
174,201589.846599999815226,41699.672700000926852,2031,3,1999
175,201589.850399999879301,41809.670600000768900,2032,3,1999
176,201699.842100000008941,41809.665200000628829,2033,3,1999
177,201699.838200000114739,41699.667300000786781,2034,3,1999
178,202089.582999999634922,34199.795199999585748,2041,3,1996
179,202089.586199999786913,34309.792999999597669,2042,3,1996
180,202199.578300000168383,34309.787900000810623,2043,3,1996
181,202199.575000000186265,34199.789999999105930,2044,3,1996
182,202089.612700000405312,35199.775599999353290,2051,3,1996
183,202089.615600000135601,35309.773399999365211,2052,3,1996
184,202199.607599999755621,35309.768300000578165,2053,3,1996
185,202199.604600000195205,35199.770400000736117,2054,3,1996
186,202479.508899999782443,32699.806700000539422,2061,3,1998
187,202479.512000000104308,32809.804400000721216,2062,3,1998
188,202589.503899999894202,32809.799399999901652,2063,3,1998
189,202589.500699999742210,32699.801500000059605,2064,3,1998
190,202589.530100000090897,33699.781899999827147,2071,3,1997
191,202589.532899999991059,33809.779600000008941,2072,3,1997
192,202699.524600000120699,33809.774599999189377,2073,3,1997
193,202699.521800000220537,33699.776799999177456,2074,3,1997
194,202479.568500000052154,34699.767200000584126,2081,3,1996
195,202479.571000000461936,34809.765000000596046,2082,3,1996
196,202589.562699999660254,34809.759999999776483,2083,3,1996
197,202589.560200000181794,34699.762099999934435,2084,3,1996
198,202589.648799999617040,37699.702999999746680,2091,3,1995
199,202589.652700000442564,37809.700899999588728,2092,3,1995
200,202699.643899999558926,37809.695699999108911,2093,3,1995
201,202699.641200000420213,37699.697899999096990,2094,3,1995
202,202589.679399999789894,38699.683399999514222,2101,3,1995
203,202589.682900000363588,38809.681199999526143,2102,3,1995
204,202699.674100000411272,38809.676000000908971,2103,3,1995
205,202699.670599999837577,38699.678200000897050,2104,3,1995
206,203089.477699999697506,33199.768899999558926,2111,3,1998
207,203089.481100000441074,33309.766699999570847,2112,3,1998
208,203199.472500000149012,33309.761700000613928,2113,3,1998
209,203199.468999999575317,33199.764000000432134,2114,3,1998
210,203089.655600000172853,39199.650200000032783,2121,3,1995
211,203089.659500000067055,39309.648000000044703,2122,3,1995
212,203199.651399999856949,39309.642899999395013,2123,3,1995
213,203199.647499999962747,39199.645099999383092,2124,3,1995
214,203589.633700000122190,39699.617200000211596,2131,3,1995
215,203589.636800000444055,39809.615100000053644,2132,3,1995
216,203699.628200000151992,39809.609999999403954,2133,3,1995
217,203699.625099999830127,39699.612199999392033,2134,3,1995
218,203979.615699999965727,40089.591600000858307,2141,3,1995
219,203979.619099999777973,40199.589400000870228,2142,3,1995
220,204089.610100000165403,40199.584499999880791,2143,3,1995
221,204089.606700000353158,40089.586699999868870,2144,3,1995
222,208960.188400000333786,71155.752000000327826,4011,3,NaturalForest_Sebitole
223,207567.687900000251830,51439.205399999395013,5011,3,NaturalForest_Kanyanchu
224,207677.680200000293553,51439.200600000098348,5014,3,NaturalForest_Kanyanchu
225,207977.649000000208616,51152.193600000813603,5021,3,NaturalForest_Kanyanchu
226,207977.652999999932945,51262.191299999132752,5022,3,NaturalForest_Kanyanchu
227,200590.093700000084937,47199.617000000551343,6011,3,2004
228,200590.097699999809265,47309.614900000393391,6012,3,2005
229,200700.088399999774992,47309.609300000593066,6013,3,2004
230,200700.085500000044703,47199.611400000751019,6014,3,2004
231,202589.983000000007451,48699.488099999725819,6081,3,2005
232,202589.985700000077486,48809.486099999397993,6082,3,2005
233,202699.976800000295043,48809.480599999427795,6083,3,2005
234,202699.974100000225008,48699.482799999415874,6084,3,2005
235,203089.943300000391901,48699.463899999856949,6101,3,2005
236,203089.947100000455976,48809.461699999868870,6102,3,2005
237,203199.938900000415742,48809.456499999389052,6103,3,2005
238,203199.935200000181794,48699.458599999547005,6104,3,2005
239,204089.790699999779463,46199.465600000694394,9051,3,Regeneration Area
240,204089.794499999843538,46309.463400000706315,9052,3,Regeneration Area
241,204199.785899999551475,46309.458300000056624,9053,3,Regeneration Area
242,202089.898900000378489,44699.590099999681115,9061,3,Regeneration Area
243,202089.902900000102818,44809.587999999523163,9062,3,Regeneration Area
244,202199.893799999728799,44809.582699999213219,9063,3,Regeneration Area
245,203589.783599999733269,44699.518500000238419,9071,3,Regeneration Area
246,203589.787399999797344,44809.516300000250340,9072,3,Regeneration Area
247,203699.778199999593198,44809.511199999600649,9073,3,Regeneration Area
248,202589.814799999818206,43199.595200000330806,9081,3,Regeneration Area
249,202589.818699999712408,43309.593000000342727,9082,3,Regeneration Area
250,202699.809399999678135,43309.587799999862909,9083,3,Regeneration Area
251,204172.669599999673665,42395.537100000306964,9091,3,Regeneration Area
252,204172.673700000159442,42505.534800000488758,9092,3,Regeneration Area
253,204282.665400000289083,42505.529799999669194,9093,3,Regeneration Area
254,203089.746399999596179,42199.591099999845028,9101,3,Regeneration Area
255,203089.749300000257790,42309.588899999856949,9102,3,Regeneration Area
256,203199.740799999795854,42309.583799999207258,9103,3,Regeneration Area
257,205589.335799999535084,34699.628900000825524,9161,3,Regeneration Area
258,205589.339100000448525,34809.626700000837445,9162,3,Regeneration Area
259,205699.331600000150502,34809.621999999508262,9163,3,Regeneration Area
260,202589.440700000151992,30699.841099999845028,9191,3,Regeneration Area
261,202589.444400000385940,30809.838999999687076,9192,3,Regeneration Area
262,202699.436300000175834,30809.833900000900030,9193,3,Regeneration Area
263,203589.814399999566376,45699.498800000175834,9261,3,Regeneration Area
264,203589.816800000146031,45809.496600000187755,9262,3,Regeneration Area
265,203699.808600000105798,45809.491499999538064,9263,3,Regeneration Area
266,205089.699799999594688,45699.429800000041723,9271,3,Regeneration Area
267,205089.703099999576807,45809.427600000053644,9272,3,Regeneration Area
268,205199.694799999706447,45809.422499999403954,9273,3,Regeneration Area
269,204089.730200000107288,44199.505100000649691,9301,3,Regeneration Area
270,204089.733500000089407,44309.503000000491738,9302,3,Regeneration Area
271,204199.725100000388920,44309.497899999842048,9303,3,Regeneration Area
272,202589.829900000244379,43699.585500000044703,9311,3,Regeneration Area
273,202589.833100000396371,43809.583300000056624,9312,3,Regeneration Area
274,202699.824799999594688,43809.577999999746680,9313,3,Regeneration Area
275,205089.639899999834597,43699.469699999317527,9321,3,Regeneration Area
276,205089.643799999728799,43809.467399999499321,9322,3,Regeneration Area
277,205199.634600000455976,43809.462500000372529,9323,3,Regeneration Area
278,206089.550699999555945,43199.435599999502301,9341,3,Regeneration Area
279,206089.554200000129640,43309.433399999514222,9342,3,Regeneration Area
280,206199.545400000177324,43309.428600000217557,9343,3,Regeneration Area
281,202589.784599999897182,42199.614800000563264,9361,3,Regeneration Area
282,202589.787600000388920,42309.612600000575185,9362,3,Regeneration Area
283,202699.779500000178814,42309.607300000265241,9363,3,Regeneration Area
284,205089.595099999569356,42199.499600000679493,9381,3,Regeneration Area
285,205089.597900000400841,42309.497500000521541,9382,3,Regeneration Area
286,205199.589999999850988,42309.492499999701977,9383,3,Regeneration Area
287,203089.731499999761581,41699.600899999961257,9391,3,Regeneration Area
288,203089.734000000171363,41809.598699999973178,9392,3,Regeneration Area
289,203199.726700000464916,41809.593599999323487,9393,3,Regeneration Area
290,207089.286500000394881,36699.525499999523163,9481,3,Regeneration Area
291,207089.289099999703467,36809.523199999704957,9482,3,Regeneration Area
292,207199.281399999745190,36809.518600000068545,9483,3,Regeneration Area
293,206089.343799999915063,36199.577400000765920,9491,3,Regeneration Area
294,206089.347199999727309,36309.575099999085069,9492,3,Regeneration Area
295,206199.339200000278652,36309.570399999618530,9493,3,Regeneration Area
296,205589.307099999859929,33699.649199999868870,9521,3,Regeneration Area
297,205589.309700000099838,33809.646999999880791,9522,3,Regeneration Area
298,205699.302299999631941,33809.642300000414252,9523,3,Regeneration Area
299,204589.321700000204146,31699.732499999925494,9541,3,Regeneration Area
300,204589.324900000356138,31809.730200000107288,9542,3,Regeneration Area
301,204699.316300000064075,31809.725400000810623,9543,3,Regeneration Area
302,205172.255800000391901,30895.723699999973178,9561,3,Regeneration Area
303,205172.258399999700487,31005.721499999985099,9562,3,Regeneration Area
304,205282.250400000251830,31005.716900000348687,9563,3,Regeneration Area
